id,username,nickname,is_bot,segment,designed_messages,home_channel,verbosity,formality,technical,emoji,hostility,disclosure,help_seeking
200000000000000000,bold_quarry,"Bold Quarry",false,casual,9,support,0.48,0.09,0.17,0.73,0.00,0.37,0.29
200000000000000001,keen_wren,"Keen Wren",false,casual,1,general,0.40,0.20,0.10,0.80,0.11,0.30,0.17
200000000000000002,rapid_ivory,"Rapid Ivory",false,technical,5,support,0.59,0.57,0.95,0.14,0.14,0.22,0.18
200000000000000003,swift_ferry43,"Swift Ferry",false,technical,9,general,0.80,0.59,0.80,0.16,0.22,0.32,0.18
200000000000000004,bold_nettle39,"Bold Nettle",false,support-seeker,3,support,0.42,0.30,0.43,0.25,0.21,0.49,1.00
200000000000000005,lucidgable,"Lucid Gable",false,casual,3,general,0.30,0.21,0.16,0.94,0.20,0.28,0.12
200000000000000006,calmreed,"Calm Reed",false,support-seeker,6,general,0.45,0.36,0.35,0.07,0.25,0.49,1.00
200000000000000007,theomoreau,"Theo Moreau",false,support-seeker,2,general,0.41,0.39,0.46,0.09,0.11,0.63,0.94
200000000000000008,quietanvil,"Quiet Anvil",false,support-seeker,2,support,0.42,0.46,0.22,0.11,0.26,0.40,0.82
200000000000000009,julesberg,"Jules Berg",false,contrarian,20,general,0.70,0.28,0.54,0.01,0.74,0.16,0.02
200000000000000010,nimblekestrel,"Nimble Kestrel",false,lurker,3,general,0.28,0.18,0.27,0.33,0.00,0.09,0.23
200000000000000011,lucidanvil,"Lucid Anvil",false,support-seeker,2,general,0.35,0.35,0.49,0.08,0.28,0.64,1.00
200000000000000012,calmquarry,"Calm Quarry",false,casual,3,general,0.43,0.04,0.25,0.75,0.24,0.26,0.24
200000000000000013,rapid_quarry,"Rapid Quarry",false,casual,2,support,0.30,0.01,0.31,0.93,0.02,0.34,0.12
200000000000000014,jadeharbor47,"Jade Harbor",false,casual,9,support,0.48,0.06,0.21,0.92,0.12,0.47,0.07
200000000000000015,jade_pine,"Jade Pine",false,support-seeker,4,support,0.44,0.33,0.37,0.14,0.20,0.42,0.84
200000000000000016,calmpebble,"Calm Pebble",false,support-seeker,6,general,0.47,0.46,0.25,0.27,0.27,0.51,1.00
200000000000000017,nimblemeadow8,"Nimble Meadow",false,lurker,2,general,0.29,0.43,0.24,0.28,0.00,0.34,0.41
200000000000000018,zestygable88,"Zesty Gable",false,lurker,2,support,0.19,0.18,0.37,0.39,0.14,0.06,0.44
200000000000000019,ember_anvil47,"Ember Anvil",false,lurker,2,general,0.30,0.24,0.38,0.22,0.04,0.35,0.36
200000000000000020,duskanvil,"Dusk Anvil",false,contrarian,7,general,0.59,0.26,0.60,0.22,0.77,0.28,0.07
200000000000000021,umberpebble,"Umber Pebble",false,support-seeker,7,support,0.65,0.28,0.26,0.34,0.19,0.51,1.00
200000000000000022,theolindqvist,"Theo Lindqvist",false,casual,2,general,0.21,0.05,0.16,0.75,0.07,0.38,0.31
200000000000000023,raviito21,"Ravi Ito",false,technical,15,general,0.63,0.35,0.96,0.00,0.05,0.27,0.15
200000000000000024,pavelk37,"Pavel K",false,contrarian,9,general,0.72,0.18,0.58,0.06,0.73,0.18,0.14
200000000000000025,swift_vellum19,"Swift Vellum",false,contrarian,6,support,0.50,0.37,0.56,0.24,0.65,0.13,0.19
200000000000000026,jade_juniper42,"Jade Juniper",false,contrarian,4,general,0.56,0.15,0.40,0.23,0.74,0.12,0.00
200000000000000027,quietwren,"Quiet Wren",false,technical,3,general,0.68,0.50,0.76,0.23,0.05,0.22,0.37
200000000000000028,swift_anvil,"Swift Anvil",false,contrarian,3,support,0.57,0.25,0.40,0.02,0.76,0.20,0.02
200000000000000029,jadekestrel,"Jade Kestrel",false,burnout,3,support,0.66,0.33,0.36,0.06,0.22,0.95,0.55
200000000000000030,keenotter,"Keen Otter",false,burnout,4,general,0.68,0.21,0.29,0.14,0.06,0.94,0.27
200000000000000031,plainotter,"Plain Otter",false,contrarian,1,general,0.47,0.35,0.52,0.13,0.73,0.14,0.23
200000000000000032,faintwren98,"Faint Wren",false,casual,2,general,0.36,0.13,0.29,0.78,0.14,0.45,0.35
200000000000000033,talianovak,"Talia Novak",false,technical,12,general,0.84,0.53,0.77,0.03,0.19,0.15,0.44
200000000000000034,vividsummit,"Vivid Summit",false,contrarian,13,general,0.73,0.26,0.59,0.22,0.88,0.11,0.09
